1,2,,,What is normality?,title,what is normality?
2,3,,,What are some valuable Statistical Analysis open source projects?,title,what are some valuable statistical analysis open source projects?
3,4,,,Assessing the significance of differences in distributions,title,assessing the significance of differences in distributions
4,6,,,The Two Cultures: statistics vs. machine learning?,title,the two cultures: statistics vs. machine learning?
5,7,,,Locating freely available data samples,title,locating freely available data samples
6,8,,,So how many staticians *does* it take to screw in a lightbulb?,title,so how many staticians does it take to screw in a lightbulb?
7,10,,,Under what conditions should Likert scales be used as ordinal or interval data?,title,under what conditions should likert scales be used as ordinal or interval data?
8,11,,,Multivariate Interpolation Approaches,title,multivariate interpolation approaches
9,21,,,Forecasting demographic census,title,forecasting demographic census
10,22,,,Bayesian and frequentist reasoning in plain English,title,bayesian and frequentist reasoning in plain english
11,23,,,Finding the PDF given the CDF,title,finding the pdf given the cdf
